Graph4
Time (Seconds),x (Meters),Y (Meters),Z (Meters)
14.850000,6.889878,-2.109434,0.237336
14.900001,6.889533,-2.109334,0.237338
14.950000,6.889194,-2.109233,0.237336
15.000000,6.888853,-2.109130,0.237336
15.050000,6.888512,-2.109031,0.237339
15.100000,6.888176,-2.108932,0.237337
15.150001,6.887837,-2.108830,0.237338
15.200000,6.887499,-2.108733,0.237337
15.250000,6.887165,-2.108641,0.237340
15.300000,6.886828,-2.108548,0.237341
15.350000,6.886484,-2.108454,0.237342
15.400001,6.886147,-2.108359,0.237340
15.450000,6.885807,-2.108267,0.237339
15.500000,6.885466,-2.108177,0.237339
15.550000,6.885128,-2.108085,0.237341
15.600000,6.884790,-2.107992,0.237341
15.650001,6.884449,-2.107902,0.237341
15.700000,6.884113,-2.107818,0.237341
15.750000,6.883772,-2.107732,0.237341
15.800000,6.883431,-2.107648,0.237342
15.850000,6.883095,-2.107561,0.237343
15.900001,6.882758,-2.107481,0.237348
15.950000,6.882413,-2.107397,0.237344
16.000000,6.882070,-2.107318,0.237348
16.049999,6.881724,-2.107239,0.237347
16.099998,6.881376,-2.107161,0.237352
16.150000,6.881047,-2.107080,0.237344
16.199999,6.880705,-2.107006,0.237347
16.250000,6.880357,-2.106932,0.237347
16.299999,6.880009,-2.106859,0.237347
16.349998,6.879657,-2.106786,0.237348
16.400000,6.879313,-2.106714,0.237345
16.449999,6.878967,-2.106645,0.237347
16.500000,6.878622,-2.106574,0.237347
16.549999,6.878274,-2.106504,0.237349
16.599998,6.877925,-2.106435,0.237348
16.650000,6.877577,-2.106367,0.237352
16.699999,6.877227,-2.106304,0.237355
16.750000,6.876885,-2.106237,0.237349
16.799999,6.876544,-2.106175,0.237351
16.849998,6.876200,-2.106115,0.237352
16.900000,6.875861,-2.106061,0.237359
16.949999,6.875510,-2.106034,0.237380
17.000000,6.875158,-2.105988,0.237387
17.049999,6.874811,-2.105930,0.237386
17.099998,6.874467,-2.105878,0.237390
17.150000,6.874114,-2.105820,0.237387
17.199999,6.873810,-2.104386,0.237428
17.250000,6.873670,-2.100816,0.237421
17.299999,6.873607,-2.095026,0.237382
17.349998,6.873455,-2.086771,0.237327
17.400000,6.873468,-2.077040,0.237308
17.449999,6.873365,-2.067267,0.237324
17.500000,6.873328,-2.057364,0.237304
17.549999,6.873504,-2.047674,0.237312
17.599998,6.873574,-2.037928,0.237303
17.650000,6.873740,-2.028196,0.237308
17.699999,6.873819,-2.020374,0.237228
17.750000,6.873763,-2.016340,0.237230
17.799999,6.873768,-2.012323,0.237415
17.849998,6.873931,-2.004333,0.237381
17.900000,6.873968,-1.996757,0.237204
17.949999,6.874065,-1.989110,0.237365
18.000000,6.874179,-1.979187,0.237265
18.049999,6.874302,-1.969438,0.237264
18.099998,6.874431,-1.959689,0.237267
18.150000,6.874549,-1.949948,0.237270
18.199999,6.874670,-1.940190,0.237259
18.250000,6.874789,-1.930453,0.237267
18.299999,6.874910,-1.920713,0.237268
18.349998,6.875025,-1.910990,0.237283
18.400000,6.875128,-1.901251,0.237274
18.449999,6.875257,-1.891556,0.237302
18.500000,6.875380,-1.881843,0.237325
18.549999,6.875491,-1.872092,0.237319
18.599998,6.875607,-1.862353,0.237321
18.650000,6.875722,-1.852600,0.237318
18.699999,6.875854,-1.842820,0.237301
18.750000,6.875977,-1.833078,0.237298
18.799999,6.876112,-1.823319,0.237291
18.849998,6.876212,-1.813547,0.237283
18.900000,6.876327,-1.803804,0.237279
18.949999,6.876438,-1.794041,0.237268
19.000000,6.876561,-1.784291,0.237267
19.049999,6.876676,-1.774518,0.237246
19.099998,6.876802,-1.764774,0.237248
19.150000,6.876925,-1.755019,0.237250
19.199999,6.877050,-1.745316,0.237271
19.250000,6.877169,-1.735562,0.237259
19.299999,6.877285,-1.725846,0.237274
19.349998,6.877404,-1.716099,0.237277
19.400000,6.877518,-1.706404,0.237298
19.449999,6.877640,-1.696689,0.237311
19.500000,6.877757,-1.686926,0.237309
19.549999,6.877875,-1.677188,0.237312
19.599998,6.877994,-1.667436,0.237309
19.650000,6.878109,-1.657698,0.237317
19.699999,6.878238,-1.647911,0.237295
19.750000,6.878346,-1.638161,0.237295
19.799999,6.878466,-1.628377,0.237273
19.849998,6.878585,-1.618635,0.237279
19.900000,6.878704,-1.608864,0.237265
19.949999,6.878832,-1.599112,0.237259
20.000000,6.878949,-1.589364,0.237259
20.049999,6.879073,-1.579615,0.237253
20.099998,6.879186,-1.569895,0.237269
20.150000,6.879290,-1.560150,0.237267
20.199999,6.879418,-1.550393,0.237265
20.250000,6.879537,-1.540665,0.237266
20.299999,6.879643,-1.530936,0.237282
20.349998,6.879757,-1.521199,0.237290
20.400000,6.879884,-1.511458,0.237289
20.449999,6.880006,-1.501763,0.237317
20.500000,6.880139,-1.492007,0.237300
20.549999,6.880244,-1.482268,0.237316
20.599998,6.880365,-1.472527,0.237319
20.650000,6.880483,-1.462751,0.237303
20.699999,6.880611,-1.452980,0.237286
20.750000,6.880727,-1.443220,0.237283
20.799999,6.880842,-1.433437,0.237264
20.849998,6.880965,-1.423682,0.237259
20.900000,6.881081,-1.413933,0.237257
20.949999,6.881207,-1.404178,0.237252
21.000000,6.881330,-1.394442,0.237257
21.049999,6.881453,-1.384686,0.237250
21.099998,6.881565,-1.374959,0.237260
21.150000,6.881691,-1.365224,0.237266
21.199999,6.881807,-1.355548,0.237305
21.250000,6.881935,-1.345780,0.237287
21.299999,6.882049,-1.336075,0.237303
21.349998,6.882162,-1.326324,0.237310
21.400000,6.882284,-1.316597,0.237318
21.449999,6.882408,-1.306847,0.237318
21.500000,6.882523,-1.297099,0.237315
21.549999,6.882648,-1.287351,0.237315
21.599998,6.882771,-1.277586,0.237302
21.650000,6.882894,-1.267843,0.237307
21.699999,6.882993,-1.258082,0.237297
21.750000,6.883112,-1.248275,0.237267
21.799999,6.883231,-1.238525,0.237266
21.849998,6.883359,-1.228761,0.237256
21.900000,6.883465,-1.219035,0.237277
21.949999,6.883593,-1.209261,0.237251
22.000000,6.883713,-1.199542,0.237266
22.049999,6.883841,-1.189804,0.237263
22.099998,6.883951,-1.180058,0.237266
22.150000,6.884069,-1.170350,0.237289
22.199999,6.884194,-1.160609,0.237286
22.250000,6.884315,-1.150879,0.237295
22.299999,6.884438,-1.141153,0.237297
22.349998,6.884558,-1.131418,0.237309
22.400000,6.884670,-1.121664,0.237304
22.449999,6.884783,-1.111944,0.237323
22.500000,6.884912,-1.102179,0.237304
22.549999,6.885024,-1.092398,0.237290
22.599998,6.885140,-1.082669,0.237299
22.650000,6.885254,-1.072892,0.237280
22.699999,6.885376,-1.063120,0.237262
22.750000,6.885489,-1.053387,0.237271
22.799999,6.885599,-1.043620,0.237257
22.849998,6.885721,-1.033839,0.237241
22.900000,6.885847,-1.024096,0.237242
22.949999,6.885967,-1.014364,0.237252
23.000000,6.886076,-1.004633,0.237260
23.049999,6.886201,-0.994879,0.237257
23.099998,6.886320,-0.985157,0.237266
23.150000,6.886434,-0.975457,0.237290
23.199999,6.886560,-0.965706,0.237288
23.250000,6.886683,-0.955974,0.237296
23.299999,6.886798,-0.946244,0.237308
23.349998,6.886914,-0.936502,0.237301
23.400000,6.887032,-0.926775,0.237306
23.449999,6.887146,-0.917022,0.237309
23.500000,6.887269,-0.907257,0.237301
23.549999,6.887392,-0.897489,0.237295
23.599998,6.887498,-0.887743,0.237290
23.650000,6.887625,-0.877968,0.237271
23.699999,6.887748,-0.868201,0.237262
23.750000,6.887870,-0.858431,0.237247
23.799999,6.887978,-0.848686,0.237253
23.849998,6.888097,-0.838938,0.237249
23.900000,6.888208,-0.829204,0.237265
23.949999,6.888338,-0.819458,0.237260
24.000000,6.888451,-0.809727,0.237270
24.049999,6.888572,-0.799988,0.237273
24.099998,6.888694,-0.790267,0.237289
24.150000,6.888821,-0.780518,0.237290
24.199999,6.888939,-0.770808,0.237307
24.250000,6.889060,-0.761064,0.237306
24.299999,6.889180,-0.751317,0.237308
24.349998,6.889298,-0.741589,0.237319
24.400000,6.889416,-0.731830,0.237317
24.449999,6.889540,-0.722077,0.237308
24.500000,6.889665,-0.712299,0.237285
24.549999,6.889782,-0.702542,0.237290
24.599998,6.889905,-0.692788,0.237287
24.650000,6.890025,-0.683011,0.237267
24.699999,6.890131,-0.673277,0.237273
24.750000,6.890245,-0.663525,0.237271
24.799999,6.890379,-0.653761,0.237258
24.849998,6.890478,-0.644043,0.237274
24.900000,6.890601,-0.634288,0.237262
24.949999,6.890719,-0.624569,0.237276
25.000000,6.890835,-0.614814,0.237278
25.049999,6.890956,-0.605101,0.237287
25.099998,6.891091,-0.595366,0.237293
25.150000,6.891204,-0.585642,0.237304
25.199999,6.891330,-0.575907,0.237302
25.250000,6.891443,-0.566196,0.237328
25.299999,6.891566,-0.556424,0.237311
25.349998,6.891679,-0.546673,0.237310
25.400000,6.891801,-0.536900,0.237293
25.449999,6.891927,-0.527147,0.237293
25.500000,6.892041,-0.517411,0.237296
25.549999,6.892163,-0.507632,0.237280
25.599998,6.892278,-0.497885,0.237278
25.650000,6.892403,-0.488104,0.237263
25.699999,6.892528,-0.478366,0.237265
25.750000,6.892638,-0.468591,0.237247
25.799999,6.892755,-0.458871,0.237259
25.849998,6.892877,-0.449113,0.237255
25.900000,6.892995,-0.439398,0.237270
25.949999,6.893116,-0.429633,0.237258
26.000000,6.893242,-0.419938,0.237285
26.049999,6.893352,-0.410189,0.237288
26.099998,6.893471,-0.400453,0.237291
26.150000,6.893589,-0.390751,0.237318
26.199999,6.893697,-0.380998,0.237307
26.250000,6.893818,-0.371237,0.237300
26.299999,6.893939,-0.361497,0.237306
26.349998,6.894061,-0.351750,0.237301
26.400000,6.894173,-0.341970,0.237293
26.449999,6.894294,-0.332231,0.237290
26.500000,6.894411,-0.322441,0.237270
26.549999,6.894525,-0.312678,0.237260
26.599998,6.894639,-0.302936,0.237267
26.650000,6.894761,-0.293133,0.237237
26.699999,6.894874,-0.283427,0.237261
26.750000,6.894996,-0.273680,0.237262
26.799999,6.895126,-0.263927,0.237257
26.849998,6.895246,-0.254192,0.237265
26.900000,6.895366,-0.244460,0.237278
26.949999,6.895483,-0.234741,0.237288
27.000000,6.895594,-0.225008,0.237298
27.049999,6.895705,-0.215273,0.237304
27.099998,6.895825,-0.205553,0.237317
27.150000,6.895960,-0.195825,0.237324
27.199999,6.896079,-0.186084,0.237324
27.250000,6.896190,-0.176329,0.237320
27.299999,6.896302,-0.166560,0.237311
27.349998,6.896432,-0.156809,0.237307
27.400000,6.896538,-0.147048,0.237294
27.449999,6.896670,-0.137264,0.237272
27.500000,6.896781,-0.127489,0.237262
27.549999,6.896899,-0.117757,0.237272
27.599998,6.897016,-0.107971,0.237248
27.650000,6.897133,-0.098237,0.237262
27.699999,6.897262,-0.088477,0.237251
27.750000,6.897375,-0.078737,0.237253
27.799999,6.897487,-0.069015,0.237265
27.849998,6.897600,-0.059272,0.237271
27.900000,6.897727,-0.049574,0.237294
27.949999,6.897837,-0.039835,0.237300
28.000000,6.897957,-0.030090,0.237303
28.049999,6.898072,-0.020362,0.237311
28.099998,6.898202,-0.010623,0.237311
28.150000,6.898323,-0.000878,0.237312
28.199999,6.898431,0.008862,0.237318
28.250000,6.898553,0.018612,0.237317
28.299999,6.898669,0.028398,0.237284
28.349998,6.898785,0.038148,0.237291
28.400000,6.898900,0.047924,0.237274
28.449999,6.899020,0.057682,0.237269
28.500000,6.899125,0.067428,0.237267
28.549999,6.899246,0.077202,0.237251
28.599998,6.899368,0.086938,0.237257
28.650000,6.899475,0.096691,0.237249
28.699999,6.899602,0.106428,0.237263
28.750000,6.899714,0.116147,0.237267
28.799999,6.899822,0.125888,0.237273
28.849998,6.899946,0.135628,0.237278
28.900000,6.900073,0.145310,0.237304
28.949999,6.900196,0.155053,0.237306
29.000000,6.900314,0.164835,0.237289
29.049999,6.900435,0.174547,0.237295
29.099998,6.900546,0.184261,0.237326
29.150000,6.900665,0.194058,0.237295
29.199999,6.900788,0.203791,0.237308
29.250000,6.900908,0.213541,0.237302
29.299999,6.901019,0.223327,0.237280
29.349998,6.901135,0.233074,0.237285
29.400000,6.901252,0.242832,0.237275
29.449999,6.901369,0.252599,0.237259
29.500000,6.901491,0.262343,0.237261
29.549999,6.901609,0.272122,0.237242
29.599998,6.901723,0.281823,0.237273
29.650000,6.901836,0.291568,0.237268
29.699999,6.901961,0.301309,0.237270
29.750000,6.902081,0.311065,0.237255
29.799999,6.902201,0.320779,0.237280
29.849998,6.902335,0.330516,0.237290
29.900000,6.902463,0.340230,0.237305
